hex_codepoint,status,emoji,e_version,description,utf8_bytes,utf8_str,utf8_clean,unicode_bytes,unicode_str
1F9F3,fully-qualified,🧳,E11.0,luggage,b'\xf0\x9f\xa7\xb3',\xf0\x9f\xa7\xb3,xf0x9fxa7xb3,b'\\U0001f9f3',\\U0001f9f3
231B,fully-qualified,⌛,E0.6,hourglass done,b'\xe2\x8c\x9b',\xe2\x8c\x9,xe2x8cx9,b'\\u231b',\\u231
23F3,fully-qualified,⏳,E0.6,hourglass not done,b'\xe2\x8f\xb3',\xe2\x8f\xb3,xe2x8fxb3,b'\\u23f3',\\u23f3
231A,fully-qualified,⌚,E0.6,watch,b'\xe2\x8c\x9a',\xe2\x8c\x9a,xe2x8cx9a,b'\\u231a',\\u231a
23F0,fully-qualified,⏰,E0.6,alarm clock,b'\xe2\x8f\xb0',\xe2\x8f\xb0,xe2x8fxb0,b'\\u23f0',\\u23f0
23F1 FE0F,fully-qualified,⏱️,E1.0,stopwatch,b'\xe2\x8f\xb1\xef\xb8\x8f',\xe2\x8f\xb1\xef\xb8\x8f,xe2x8fxb1xefxb8x8f,b'\\u23f1\\ufe0f',\\u23f1\\ufe0f
23F1,unqualified,⏱,E1.0,stopwatch,b'\xe2\x8f\xb1',\xe2\x8f\xb1,xe2x8fxb1,b'\\u23f1',\\u23f1
23F2 FE0F,fully-qualified,⏲️,E1.0,timer clock,b'\xe2\x8f\xb2\xef\xb8\x8f',\xe2\x8f\xb2\xef\xb8\x8f,xe2x8fxb2xefxb8x8f,b'\\u23f2\\ufe0f',\\u23f2\\ufe0f
23F2,unqualified,⏲,E1.0,timer clock,b'\xe2\x8f\xb2',\xe2\x8f\xb2,xe2x8fxb2,b'\\u23f2',\\u23f2
1F570 FE0F,fully-qualified,🕰️,E0.7,mantelpiece clock,b'\xf0\x9f\x95\xb0\xef\xb8\x8f',\xf0\x9f\x95\xb0\xef\xb8\x8f,xf0x9fx95xb0xefxb8x8f,b'\\U0001f570\\ufe0f',\\U0001f570\\ufe0f
1F570,unqualified,🕰,E0.7,mantelpiece clock,b'\xf0\x9f\x95\xb0',\xf0\x9f\x95\xb0,xf0x9fx95xb0,b'\\U0001f570',\\U0001f570
1F55B,fully-qualified,🕛,E0.6,twelve o’clock,b'\xf0\x9f\x95\x9b',\xf0\x9f\x95\x9,xf0x9fx95x9,b'\\U0001f55b',\\U0001f55
1F567,fully-qualified,🕧,E0.7,twelve-thirty,b'\xf0\x9f\x95\xa7',\xf0\x9f\x95\xa7,xf0x9fx95xa7,b'\\U0001f567',\\U0001f567
1F550,fully-qualified,🕐,E0.6,one o’clock,b'\xf0\x9f\x95\x90',\xf0\x9f\x95\x90,xf0x9fx95x90,b'\\U0001f550',\\U0001f550
1F55C,fully-qualified,🕜,E0.7,one-thirty,b'\xf0\x9f\x95\x9c',\xf0\x9f\x95\x9c,xf0x9fx95x9c,b'\\U0001f55c',\\U0001f55c
1F551,fully-qualified,🕑,E0.6,two o’clock,b'\xf0\x9f\x95\x91',\xf0\x9f\x95\x91,xf0x9fx95x91,b'\\U0001f551',\\U0001f551
1F55D,fully-qualified,🕝,E0.7,two-thirty,b'\xf0\x9f\x95\x9d',\xf0\x9f\x95\x9d,xf0x9fx95x9d,b'\\U0001f55d',\\U0001f55d
1F552,fully-qualified,🕒,E0.6,three o’clock,b'\xf0\x9f\x95\x92',\xf0\x9f\x95\x92,xf0x9fx95x92,b'\\U0001f552',\\U0001f552
1F55E,fully-qualified,🕞,E0.7,three-thirty,b'\xf0\x9f\x95\x9e',\xf0\x9f\x95\x9e,xf0x9fx95x9e,b'\\U0001f55e',\\U0001f55e
1F553,fully-qualified,🕓,E0.6,four o’clock,b'\xf0\x9f\x95\x93',\xf0\x9f\x95\x93,xf0x9fx95x93,b'\\U0001f553',\\U0001f553
1F55F,fully-qualified,🕟,E0.7,four-thirty,b'\xf0\x9f\x95\x9f',\xf0\x9f\x95\x9f,xf0x9fx95x9f,b'\\U0001f55f',\\U0001f55f
1F554,fully-qualified,🕔,E0.6,five o’clock,b'\xf0\x9f\x95\x94',\xf0\x9f\x95\x94,xf0x9fx95x94,b'\\U0001f554',\\U0001f554
1F560,fully-qualified,🕠,E0.7,five-thirty,b'\xf0\x9f\x95\xa0',\xf0\x9f\x95\xa0,xf0x9fx95xa0,b'\\U0001f560',\\U0001f560
1F555,fully-qualified,🕕,E0.6,six o’clock,b'\xf0\x9f\x95\x95',\xf0\x9f\x95\x95,xf0x9fx95x95,b'\\U0001f555',\\U0001f555
1F561,fully-qualified,🕡,E0.7,six-thirty,b'\xf0\x9f\x95\xa1',\xf0\x9f\x95\xa1,xf0x9fx95xa1,b'\\U0001f561',\\U0001f561
1F556,fully-qualified,🕖,E0.6,seven o’clock,b'\xf0\x9f\x95\x96',\xf0\x9f\x95\x96,xf0x9fx95x96,b'\\U0001f556',\\U0001f556
1F562,fully-qualified,🕢,E0.7,seven-thirty,b'\xf0\x9f\x95\xa2',\xf0\x9f\x95\xa2,xf0x9fx95xa2,b'\\U0001f562',\\U0001f562
1F557,fully-qualified,🕗,E0.6,eight o’clock,b'\xf0\x9f\x95\x97',\xf0\x9f\x95\x97,xf0x9fx95x97,b'\\U0001f557',\\U0001f557
1F563,fully-qualified,🕣,E0.7,eight-thirty,b'\xf0\x9f\x95\xa3',\xf0\x9f\x95\xa3,xf0x9fx95xa3,b'\\U0001f563',\\U0001f563
1F558,fully-qualified,🕘,E0.6,nine o’clock,b'\xf0\x9f\x95\x98',\xf0\x9f\x95\x98,xf0x9fx95x98,b'\\U0001f558',\\U0001f558
1F564,fully-qualified,🕤,E0.7,nine-thirty,b'\xf0\x9f\x95\xa4',\xf0\x9f\x95\xa4,xf0x9fx95xa4,b'\\U0001f564',\\U0001f564
1F559,fully-qualified,🕙,E0.6,ten o’clock,b'\xf0\x9f\x95\x99',\xf0\x9f\x95\x99,xf0x9fx95x99,b'\\U0001f559',\\U0001f559
1F565,fully-qualified,🕥,E0.7,ten-thirty,b'\xf0\x9f\x95\xa5',\xf0\x9f\x95\xa5,xf0x9fx95xa5,b'\\U0001f565',\\U0001f565
1F55A,fully-qualified,🕚,E0.6,eleven o’clock,b'\xf0\x9f\x95\x9a',\xf0\x9f\x95\x9a,xf0x9fx95x9a,b'\\U0001f55a',\\U0001f55a
1F566,fully-qualified,🕦,E0.7,eleven-thirty,b'\xf0\x9f\x95\xa6',\xf0\x9f\x95\xa6,xf0x9fx95xa6,b'\\U0001f566',\\U0001f566
1F311,fully-qualified,🌑,E0.6,new moon,b'\xf0\x9f\x8c\x91',\xf0\x9f\x8c\x91,xf0x9fx8cx91,b'\\U0001f311',\\U0001f311
1F312,fully-qualified,🌒,E1.0,waxing crescent moon,b'\xf0\x9f\x8c\x92',\xf0\x9f\x8c\x92,xf0x9fx8cx92,b'\\U0001f312',\\U0001f312
1F313,fully-qualified,🌓,E0.6,first quarter moon,b'\xf0\x9f\x8c\x93',\xf0\x9f\x8c\x93,xf0x9fx8cx93,b'\\U0001f313',\\U0001f313
1F314,fully-qualified,🌔,E0.6,waxing gibbous moon,b'\xf0\x9f\x8c\x94',\xf0\x9f\x8c\x94,xf0x9fx8cx94,b'\\U0001f314',\\U0001f314
1F315,fully-qualified,🌕,E0.6,full moon,b'\xf0\x9f\x8c\x95',\xf0\x9f\x8c\x95,xf0x9fx8cx95,b'\\U0001f315',\\U0001f315
1F316,fully-qualified,🌖,E1.0,waning gibbous moon,b'\xf0\x9f\x8c\x96',\xf0\x9f\x8c\x96,xf0x9fx8cx96,b'\\U0001f316',\\U0001f316
1F317,fully-qualified,🌗,E1.0,last quarter moon,b'\xf0\x9f\x8c\x97',\xf0\x9f\x8c\x97,xf0x9fx8cx97,b'\\U0001f317',\\U0001f317
1F318,fully-qualified,🌘,E1.0,waning crescent moon,b'\xf0\x9f\x8c\x98',\xf0\x9f\x8c\x98,xf0x9fx8cx98,b'\\U0001f318',\\U0001f318
1F319,fully-qualified,🌙,E0.6,crescent moon,b'\xf0\x9f\x8c\x99',\xf0\x9f\x8c\x99,xf0x9fx8cx99,b'\\U0001f319',\\U0001f319
1F31A,fully-qualified,🌚,E1.0,new moon face,b'\xf0\x9f\x8c\x9a',\xf0\x9f\x8c\x9a,xf0x9fx8cx9a,b'\\U0001f31a',\\U0001f31a
1F31B,fully-qualified,🌛,E0.6,first quarter moon face,b'\xf0\x9f\x8c\x9b',\xf0\x9f\x8c\x9,xf0x9fx8cx9,b'\\U0001f31b',\\U0001f31
1F31C,fully-qualified,🌜,E0.7,last quarter moon face,b'\xf0\x9f\x8c\x9c',\xf0\x9f\x8c\x9c,xf0x9fx8cx9c,b'\\U0001f31c',\\U0001f31c
